Word	Part of Speech	Origin	Definition
onyx	noun	Middle English	a chalcedony with alternating black and white bands
oogenesis	noun	New Latin	development of ova
operoseness	noun	Latin	the quality of requiring extended effort
opponent	adjective	Latin	characterized by active hostility
oppugn	verb	Middle English	"challenge the accuracy, probity, or propriety of"
optimism	noun	French	a general disposition to expect the best in all things
optimistic	adjective	French	expecting the best in this best of all possible worlds
optimum	adjective	Latin	most desirable possible under a restriction expressed or implied
ordinal	adjective	Late Latin	being or denoting a numerical order in a series
ordnance	noun	Middle English	large but transportable armament
oread	noun	Middle English	one of the mountain nymphs
oriel	noun	Middle English	a projecting bay window corbeled or cantilevered out from a wall
orifice	noun	Middle English	an aperture or hole that opens into a bodily cavity
oriflamme	noun	Middle English	a red or orange-red flag used as a standard by early French kings
origami	noun	Japanese	the Japanese art of folding paper into shapes representing objects
orison	noun	Middle English	reverent petition to a deity
ormolu	noun	French	brass that looks like gold
orogeny	noun	International Scientific Vocabulary	the process of mountain formation
orphan	adjective	Middle English	deprived of parents by death or desertion
orpiment	noun	Middle English	a yellow mineral occuring in conjunction with realgar
orthoepy	noun	New Latin	a term formerly used for the part of phonology that dealt with the `correct' pronunciation of words and its relation to `correct' orthography
orthogonal	adjective	Middle French	having a set of mutually perpendicular axes
orthopter	noun	French	heavier-than-air craft that is propelled by the flapping of wings
oscillatory	adjective	Latin	having periodic vibrations
osprey	noun	Middle English	large harmless hawk found worldwide that feeds on fish and builds a bulky nest often occupied for years
osseous	adjective	Latin	composed of or containing bone
ossicle	noun	Latin	a small bone
ossuary	noun	Late Latin	any receptacle for the burial of human bones
ostensible	adjective	French	represented or appearing as such
osteomalacia	noun	New Latin	abnormal softening of bones caused by deficiencies of phosphorus or calcium or vitamin D
osteomyelitis	noun	New Latin	an inflammation of bone and bone marrow
otiose	adjective	Latin	serving no useful purpose
ottoman	adjective	French	of or relating to the Ottoman Empire or its people or its culture
oubliette	noun	French	a dungeon with the only entrance or exit being a trap door in the ceiling
ovine	adjective	Late Latin	of or pertaining to or of the nature of or characteristic of a sheep or sheep
oviparous	adjective	Latin	egg-laying
oximeter	noun	International Scientific Vocabulary	a measuring instrument that measures the oxygen in arterial blood
oxyacetylene	adjective	International Scientific Vocabulary	of or using a mixture of acetylene and oxygen
pabulum	noun	Latin	insipid intellectual nourishment
pachinko	noun	Japanese	a Japanese pinball game played on a vertical board
pachysandra	noun	New Latin	any of a genus of perennial evergreen plants of the box family often used as a ground cover
padrone	noun	Italian	an employer who exploits Italian immigrants in the U.S.
paella	noun	Catalan	saffron-flavored dish made of rice with shellfish and chicken
pageant	noun	Middle English	an elaborate representation of scenes from history etc
pahoehoe	noun	Hawaiian	freely flowing lava
paladin	noun	Middle French	someone who fights for a cause
palaver	noun	Portuguese	loud and confused and empty talk
paleography	noun	New Latin	the study of ancient forms of writing
paleontology	noun	French	the earth science that studies fossil organisms and related remains
palimpsest	noun	Latin	a manuscript on which more than one text has been written with the earlier writing incompletely erased and still visible
palindrome	noun	Greek	a word or phrase that reads the same backward as forward
palingenesis	noun	New Latin	emergence during embryonic development of various characters or structures that appeared during the evolutionary history of the strain or species
pallium	noun	Middle English	cloak or mantle worn by men in ancient Rome
pallor	noun	Middle English	unnatural lack of color in the skin
palmyra	noun	Portuguese	tall fan palm of Africa and India and Malaysia yielding a hard wood and sweet sap that is a source of palm wine and sugar
palooka	noun	origin unknown	a second-rate prize fighter
paloverde	noun	Mexican Spanish	a thorny shrub of the genus Cercidium that grows in dry parts of the southwestern United States and adjacent Mexico
palpable	adjective	Middle English	capable of being perceived by the senses or the mind
pampas	noun	American Spanish	the vast grassy plains of northern Argentina
pandowdy	noun	origin unknown	deep-dish apple dessert covered with a rich crust
panegyric	adjective	Latin	formally expressing praise
panoply	noun	Greek	a complete and impressive array
pantheon	noun	Middle English	a temple to all the gods
pantomime	noun	Latin	a performance using gestures and body movements without words
paparazzo	noun	Italian	a freelance photographer who pursues celebrities trying to take candid photographs of them to sell to newspapers or magazines
papillon	noun	French	small slender toy spaniel with erect ears and a black-spotted brown to white coat
paprika	noun	Hungarian	a mild powdered seasoning made from dried pimientos
paraclete	noun	Middle English	the third person in the Trinity
paradigm	noun	Late Latin	the generally accepted perspective of a particular discipline at a given time
paradox	noun	Latin	a statement that contradicts itself
parallax	noun	Middle French	the apparent displacement of an object as seen from two different points that are not on a line with the object
paralogism	noun	Middle French	an unintentionally invalid argument
paralytic	adjective	Middle English	affected or subject to with paralysis
paramount	adjective	Anglo-French	having superior power and influence
paraph	noun	Middle French	a flourish added after or under your signature
paraphernalia	noun	Medieval Latin	equipment consisting of miscellaneous articles needed for a particular operation or sport etc.
paraphrastic	adjective	French	altered by paraphrasing
parapraxis	noun	New Latin	a minor inadvertent mistake usually observed in speech or writing or in small accidents or memory lapses etc.
parapsychology	noun	International Scientific Vocabulary	phenomena that appear to contradict physical laws and suggest the possibility of causation by mental processes
parasol	noun	French	a handheld collapsible source of shade
paregoric	noun	French	medicine used to treat diarrhea
parenchyma	noun	New Latin	the essential and distinctive tissue of an organ or an abnormal growth as distinguished from its supportive framework
parenthetic	adjective	Late Latin	qualifying or explaining
pariah	noun	Tamil	a person who is rejected
parietal	adjective	Middle English	of or relating to or associated with the parietal bones in the cranium
parisology	noun	Greek	the use of ambiguous words
parity	noun	Latin	functional equality
parlance	noun	Middle French	a manner of speaking that is natural to native speakers of a language
parley	noun	Middle English	a negotiation between enemies
parliament	noun	Middle English	a legislative assembly in certain countries
paronomasia	noun	Latin	a humorous play on words
paroxysmal	adjective	Middle English	accompanied by or of the nature of paroxysms
parquet	noun	French	seating on the main floor between the orchestra and the parquet circle
parterre	noun	French	an ornamental flower garden
parthenogenesis	noun	New Latin	process in which an unfertilized egg develops into a new individual
parturition	noun	Late Latin	the process of giving birth
paseo	noun	Spanish	a path set aside for walking
pasquinade	noun	Middle French	a composition that imitates somebody's style in a humorous way
passementerie	noun	French	a decoration or adornment on a garment
passerine	adjective	Latin	relating to or characteristic of the passeriform birds
pastiche	noun	French	a work of art that imitates the style of some previous work
patas	noun	French	reddish long-tailed monkey of west Africa
patently	adverb	Middle English	unmistakably
paterfamilias	noun	Middle English	the male head of family or tribe
pathology	noun	New Latin	the branch of medical science that studies the causes and nature and effects of diseases
pathos	noun	Greek	a quality that arouses emotions
patisserie	noun	French	a bakery specializing in French pastry
patois	noun	French	a regional dialect of a language
